Title of Source Input,Author or originator,Agency providing data,Publication Date,Input data time period,Input data format,Contribution of the input data to your analysis
On The Chemical Form Of Mercury In Edible Fish And Marine Invertebrate Tissue,Nicolas S. Bloom,,1992,NA,tabular,contaminant concentrations
Mercury Levels And Potential Risk From Subsistence Foods From The Aleutians,Joanna Burger and Michael Gochfeld and Christian Jeitner and Sean Burke and Tim Stamm and Ronald Snigaroff and Dan Snigaroff and Robert Patrick and Jim Weston,,2007,2004-2005,tabular,contaminant concentrations
Survey Of Total Mercury In Some Edible Fish And Shellfish Species Collected In Canada In 2002,R. Dabeka and A. D. McKenzie and D. S. Forsyth and H. B. S. Conacher,,2004,2002,tabular,contaminant concentrations
Global Assessment Of Organic Contaminants In Farmed Salmon,Ronald A. Hites and Jeffery A. Foran and David O. Carpenter and M. Coreen Hamilton and Barbara A. Knuth and Steven J. Schwager,,2004,2000,tabular,contaminant concentrations
Global Assessment Of Polybrominated Diphenyl Ethers In Farmed And Wild Salmon,Ronald A. Hites and Jeffery A. Foran and Steven J. Schwager and Barbara A. Knuth and M. Coreen Hamilton and David O. Carpenter,,2004,2001-2002,tabular,contaminant concentrations
Tissue Toxicants And Prespawn Mortality In Willamette River Chinook Salmon,Matthew L. Keefer and George P. Naughton and Tami S. Clabough and Matthew J. Knoff and Timothy J. Blubaugh and Mark R. Morasch and Peter G. Green and Christopher C. Caudill,,2020,2013-2014,tabular,contaminant concentrations
"Mercury And Other Trace Elements In Farmed And Wild Salmon From British Columbia, Canada",Barry C. Kelly and Michael G. Ikonomou and David A. Higgs and Janice Oakes and Cory Dubetz,,2008,2003,tabular,contaminant concentrations
"Tissue Residue Concentrations Of Organohalogens And Trace Elements In Adult Pacific Salmon Returning To The Fraser River, British Columbia, Canada",Barry C. Kelly and Michael G. Ikonomou and Nancy MacPherson and Tracy Sampson and David A. Patterson and Cory Dubetz,,2010,2007,tabular,contaminant concentrations
"Flesh Residue Concentrations Of Organochlorine Pesticides In Farmed And Wild Salmon From British Columbia, Canada",Barry C. Kelly and Michael G. Ikonomou and David A. Higgs and Janice Oakes and Cory Dubetz,,2011,2003,tabular,contaminant concentrations
A History Of Total Mercury In Edible Muscle Of Fish From Lakes In Northern Canada,W.L. Lockhart and G.A. Stern and G. Low and M. Hendzel and G. Boila and P. Roach and M.S. Evans and B.N. Billeck and J. DeLaronde and S. Friesen and K. Kidd and S. Atkins and D.C.G. Muir and M. Stoddart and G. Stephens and S. Stephenson and S. Harbicht and N. Snowshoe and B. Grey and S. Thompson and N. DeGraff,,2005,1970s-2000s,tabular,contaminant concentrations
