chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
DDT,1976,Chinook,BCWC,66323.53581075568,45643.288971370996,100601.56763367471,52711.04545309468,84597.12026249157,Contaminants,Species,Kg
DDT,1976,Chinook,BeringSea,53531.45874302751,35333.13539217438,79849.42273500828,42033.899262589664,67623.30404303198,Contaminants,Species,Kg
DDT,1976,Chinook,CentralAK,7744.120595808633,5019.20460313208,11730.649515426605,6101.977120465061,9821.352164331389,Contaminants,Species,Kg
DDT,1976,Chinook,SEAK,5052.821263984681,3385.5340898735944,7426.312913965635,3970.400737496977,6351.81303636683,Contaminants,Species,Kg
DDT,1976,Chum,BCWC,43702.95987066679,27983.291975867356,66816.43404544497,34038.29679018724,55117.41636399152,Contaminants,Species,Kg
DDT,1976,Chum,BeringSea,30776.983187607297,20110.099272731808,47839.31764486714,24526.425616255943,40442.396730083216,Contaminants,Species,Kg
DDT,1976,Chum,CentralAK,22115.87266426002,14448.394128273874,34549.97145115158,17276.87390430312,28888.053812878778,Contaminants,Species,Kg
DDT,1976,Chum,SEAK,22072.28789862235,14218.979641961152,35592.99419054437,17002.717025005735,29338.268736836886,Contaminants,Species,Kg
DDT,1976,Coho,BCWC,33922.84378069538,21759.2632072352,53173.89506352779,26017.257007729568,44649.20178963685,Contaminants,Species,Kg
DDT,1976,Coho,BeringSea,5874.386231080226,3564.699415375965,9512.321020536065,4409.572005684031,7814.620309696076,Contaminants,Species,Kg
DDT,1976,Coho,CentralAK,12829.804685487776,7822.696817825074,20911.979113388672,9677.13221278157,17388.11317533018,Contaminants,Species,Kg
DDT,1976,Coho,SEAK,12178.360127346265,7970.131197772849,20473.134384578545,9429.477341532027,16431.082511609813,Contaminants,Species,Kg
DDT,1976,Pink,BCWC,30061.952343348763,18690.769274937076,48204.519620674575,22430.226033422023,39671.33123071238,Contaminants,Species,Kg
DDT,1976,Pink,BeringSea,12532.583474386473,7538.167442522617,20697.475158005625,9288.593571387326,16646.40836916654,Contaminants,Species,Kg
DDT,1976,Pink,CentralAK,44232.54004221772,27424.902122446918,69803.81798258894,33662.45055125796,58148.43151410308,Contaminants,Species,Kg
DDT,1976,Pink,SEAK,66455.82574973811,40710.33599726511,103989.54265707353,49066.08229510145,87970.69138145167,Contaminants,Species,Kg
DDT,1976,Sockeye,BCWC,126760.453079859,84922.61366273131,183765.38228003288,100668.57105729329,156483.82137047267,Contaminants,Species,Kg
DDT,1976,Sockeye,BeringSea,286138.2624830862,194570.37138637344,410967.97520442965,228526.1492520873,347041.60543263145,Contaminants,Species,Kg
DDT,1976,Sockeye,CentralAK,79069.65119396613,54396.79383170947,116153.79016794213,62904.27625666675,98165.04189078954,Contaminants,Species,Kg
