"","year","mean","sd","median","low95CI","high95CI","measure","units"
"1",2000,10.1804170073196,1.84445780683144,10.0015206001552,6.9592268226178,14.5510784088896,"hg","Kilograms"
"2",2001,10.2040289340377,1.84519666412838,10.0221026201568,6.96884032048622,14.5529100089356,"hg","Kilograms"
"3",2002,10.4895307811131,1.9009387652089,10.3118512472302,7.15732273797995,14.9957746243749,"hg","Kilograms"
"4",2003,10.5331197964354,1.9051200618887,10.3513996421749,7.1941967109749,15.0086959700601,"hg","Kilograms"
"5",2004,10.4940140328826,1.89884252946496,10.3090299001657,7.17208346521628,14.9838898149788,"hg","Kilograms"
"6",2005,10.1779484543486,1.8404294370928,10.0025129939191,6.97421759430734,14.5803372683827,"hg","Kilograms"
"7",2006,9.35108469050891,1.68696502302362,9.19667119724319,6.40771162111724,13.3820352087527,"hg","Kilograms"
"8",2007,8.65802602480791,1.56923619933863,8.50349277884789,5.91263792087103,12.3705880431544,"hg","Kilograms"
"9",2008,8.15687288327063,1.47588831692424,8.01520566515965,5.57155198209467,11.6374767419241,"hg","Kilograms"
"10",2009,8.22529855662605,1.48537894522136,8.09264803206198,5.61896620786155,11.7292612687544,"hg","Kilograms"
"11",2010,8.48196914443746,1.53177146988957,8.34216932932756,5.79480809963248,12.1047780617739,"hg","Kilograms"
"12",2011,8.90320172358047,1.60768200999366,8.75495227315116,6.09052002665568,12.7259154674324,"hg","Kilograms"
"13",2012,9.04241664172775,1.63446383318358,8.88391216971171,6.18263894407924,12.9203344431364,"hg","Kilograms"
"14",2013,9.50139293476876,1.72693606495448,9.34242519929743,6.47500385235972,13.6333259773386,"hg","Kilograms"
"15",2014,9.42845868853314,1.70668674053686,9.26449505366884,6.43761407411805,13.4537383704815,"hg","Kilograms"
"16",2015,9.49329776051378,1.71987567958119,9.3281233603928,6.47715504714835,13.5424452391031,"hg","Kilograms"
