"year","mean","sd","median","low95CI","high95CI","measure","units"
2000,135547318.335469,0,135547318.335469,135547318.335469,135547318.335469,"fish escapement","number_of_fish"
2001,134741937.312804,0,134741937.312804,134741937.312804,134741937.312804,"fish escapement","number_of_fish"
2002,139590635.500896,0,139590635.500896,139590635.500896,139590635.500896,"fish escapement","number_of_fish"
2003,138987089.240974,0,138987089.240974,138987089.240974,138987089.240974,"fish escapement","number_of_fish"
2004,138664433.361931,0,138664433.361931,138664433.361931,138664433.361931,"fish escapement","number_of_fish"
2005,133690800.505436,0,133690800.505436,133690800.505436,133690800.505436,"fish escapement","number_of_fish"
2006,121896197.827489,0,121896197.827489,121896197.827489,121896197.827489,"fish escapement","number_of_fish"
2007,115876439.093216,0,115876439.093216,115876439.093216,115876439.093216,"fish escapement","number_of_fish"
2008,108546012.430487,0,108546012.430487,108546012.430487,108546012.430487,"fish escapement","number_of_fish"
2009,108684935.55196,0,108684935.55196,108684935.55196,108684935.55196,"fish escapement","number_of_fish"
2010,111841398.987672,0,111841398.987672,111841398.987672,111841398.987672,"fish escapement","number_of_fish"
2011,117029994.377799,0,117029994.377799,117029994.377799,117029994.377799,"fish escapement","number_of_fish"
2012,119344817.546168,0,119344817.546168,119344817.546168,119344817.546168,"fish escapement","number_of_fish"
2013,128442257.656584,0,128442257.656584,128442257.656584,128442257.656584,"fish escapement","number_of_fish"
2014,125274676.354632,0,125274676.354632,125274676.354632,125274676.354632,"fish escapement","number_of_fish"
2015,126695132.06209,0,126695132.06209,126695132.06209,126695132.06209,"fish escapement","number_of_fish"
2000,307089.998688555,0,307089.998688555,307089.998688555,307089.998688555,"fish escapement","metric tons"
2001,306689.062896268,0,306689.062896268,306689.062896268,306689.062896268,"fish escapement","metric tons"
2002,315982.398399388,0,315982.398399388,315982.398399388,315982.398399388,"fish escapement","metric tons"
2003,316268.859816141,0,316268.859816141,316268.859816141,316268.859816141,"fish escapement","metric tons"
2004,315485.898992635,0,315485.898992635,315485.898992635,315485.898992635,"fish escapement","metric tons"
2005,305539.61959256,0,305539.61959256,305539.61959256,305539.61959256,"fish escapement","metric tons"
2006,279947.489022287,0,279947.489022287,279947.489022287,279947.489022287,"fish escapement","metric tons"
2007,261743.141566735,0,261743.141566735,261743.141566735,261743.141566735,"fish escapement","metric tons"
2008,246069.769556226,0,246069.769556226,246069.769556226,246069.769556226,"fish escapement","metric tons"
2009,247563.390779998,0,247563.390779998,247563.390779998,247563.390779998,"fish escapement","metric tons"
2010,255043.634837817,0,255043.634837817,255043.634837817,255043.634837817,"fish escapement","metric tons"
2011,267438.647191401,0,267438.647191401,267438.647191401,267438.647191401,"fish escapement","metric tons"
2012,271945.440230446,0,271945.440230446,271945.440230446,271945.440230446,"fish escapement","metric tons"
2013,288109.812690982,0,288109.812690982,288109.812690982,288109.812690982,"fish escapement","metric tons"
2014,284105.046149432,0,284105.046149432,284105.046149432,284105.046149432,"fish escapement","metric tons"
2015,286465.746407905,0,286465.746407905,286465.746407905,286465.746407905,"fish escapement","metric tons"
