species,year,location,low75,median,high75,low50,high50,.group,type,panel,fill,data,y,x,PANEL,shape,colour,size,alpha,stroke,facet
Total,1976,All Regions,209457.24428377935,235683.05396553472,266637.2453708862,226288.617027577,245544.0597334662,1,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1977,All Regions,214134.43197064917,236091.66146604207,263959.76017714146,228232.86925398512,244272.21857427096,2,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1978,All Regions,217611.27820875682,237539.81314892738,262067.99940531753,230259.48285038525,244905.2715024229,3,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1979,All Regions,221589.2479134846,239672.74014304834,261983.3159306674,233095.71454897278,246677.98704407224,4,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1980,All Regions,224921.48443914732,242500.35448764777,264473.6560255634,236395.56694819283,249415.10797389003,5,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1981,All Regions,229132.830312381,246070.19536296255,266160.7907385111,240057.92239696532,252459.34276387893,6,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1982,All Regions,233437.16132603865,250072.75443385128,270190.8457590505,244148.2517558905,256421.31310209952,7,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1983,All Regions,237505.05813920745,254267.57908979245,273791.9950087533,248381.3656852037,260483.18887407135,8,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1984,All Regions,242306.03967747107,258505.05555825643,278627.3478128109,252520.08438404513,264403.8436285346,9,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1985,All Regions,245924.1482286045,262662.501599028,282204.9639344695,256238.42091972363,269018.05543316423,10,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
