chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
N,1976,Chinook,BCWC,197717086717.3966,155010426583.28177,258120270265.8689,171355889878.90866,231550127244.25345,Nutrients,Species,kg
N,1976,Chinook,BeringSea,157424883219.15564,120509564030.5332,207867174809.45572,133753303152.11688,186236003716.13614,Nutrients,Species,kg
N,1976,Chinook,CentralAK,22951371340.7588,17067162732.242327,30454511079.719715,19304470587.41617,27227914594.24933,Nutrients,Species,kg
N,1976,Chinook,SEAK,14950688774.483639,11222315144.174643,19495495693.97333,12803638638.393505,17513986385.77028,Nutrients,Species,kg
N,1976,Chum,BCWC,747815582324.9061,578863204692.6599,966158136987.0452,646960595789.3336,867448828364.0719,Nutrients,Species,kg
N,1976,Chum,BeringSea,538400527872.89233,428898513396.9441,672236971460.6968,473519901830.4999,609394167664.7573,Nutrients,Species,kg
N,1976,Chum,CentralAK,385153244732.1307,307646000212.1472,478710610704.0123,336160447338.95685,438530921723.4978,Nutrients,Species,kg
N,1976,Chum,SEAK,384619564219.95544,284193031607.64343,517445953398.6096,323747417667.2532,455666682908.2524,Nutrients,Species,kg
N,1976,Coho,BCWC,153575762739.9287,117739276417.26515,201911356425.9185,130520220771.91226,179099668775.829,Nutrients,Species,kg
N,1976,Coho,BeringSea,26387213016.614693,19019040462.04513,37238801576.8788,21675028249.04264,31853099367.112507,Nutrients,Species,kg
N,1976,Coho,CentralAK,58094422215.62514,40856248077.65115,83218022950.8308,47067437346.5723,71552600591.518,Nutrients,Species,kg
N,1976,Coho,SEAK,56026239731.208466,43049044139.36785,75292313323.68335,48324751826.80398,65764043603.21619,Nutrients,Species,kg
N,1976,Pink,BCWC,503136276996.0901,393150493132.2842,639447180096.7109,435972039330.563,577700504286.5034,Nutrients,Species,kg
N,1976,Pink,BeringSea,208470311406.95245,159191501375.28775,273178470295.60452,177716609866.85425,245333108764.61133,Nutrients,Species,kg
N,1976,Pink,CentralAK,736265798085.3947,578777840146.6195,931455154110.5466,644653183650.0409,839391740787.6626,Nutrients,Species,kg
N,1976,Pink,SEAK,1102146360728.2656,876682990046.3937,1373957675730.0896,964745085118.104,1253424260300.9666,Nutrients,Species,kg
N,1976,Sockeye,BCWC,566992733996.5107,438402793739.33734,710435447645.3481,482888558304.2206,646968876640.3234,Nutrients,Species,kg
N,1976,Sockeye,BeringSea,1267360971977.1465,982081827971.0146,1612364320246.0012,1091315085352.8044,1479584259728.869,Nutrients,Species,kg
N,1976,Sockeye,CentralAK,352548016609.89465,282188671077.68097,445504643623.8584,310537528333.4191,403927075210.97034,Nutrients,Species,kg
N,1976,Sockeye,SEAK,69938268931.41335,56259117414.041695,85961871227.62567,61475341095.23867,79063611362.9726,Nutrients,Species,kg
N,1977,Chinook,BCWC,203919449538.211,164965530150.37762,261172286504.24026,179670712207.1729,235498040389.61163,Nutrients,Species,kg
N,1977,Chinook,BeringSea,156622630189.06458,126364372276.29823,200579030265.02658,136610878465.73074,180734718826.03824,Nutrients,Species,kg
N,1977,Chinook,CentralAK,23809766886.95484,18467350037.32269,30540405557.375317,20332728014.083744,27694295496.76542,Nutrients,Species,kg
N,1977,Chinook,SEAK,15852544673.324558,12378326834.575,20173372440.719364,13816385142.671072,18160892319.5246,Nutrients,Species,kg
N,1977,Chum,BCWC,768520780346.6433,610685672566.2249,964955033606.7354,669496133903.5048,877711708504.7638,Nutrients,Species,kg
