location,species,median
All,Chinook,0.054250164129230095
All,Chum,0.24127565340476007
All,Coho,0.05210523893429532
All,Pink,0.34990879574356937
All,Sockeye,0.282639335227356
BCWC,Chinook,0.11065777823894277
BCWC,Chum,0.31967113098795774
BCWC,Coho,0.05812583625368746
BCWC,Pink,0.24162276794233103
BCWC,Sockeye,0.2510423207285874
BeringSea,Chinook,0.05726591315922844
BeringSea,Chum,0.2648688296691285
BeringSea,Coho,0.02035596004057741
BeringSea,Pink,0.054331860074211674
BeringSea,Sockeye,0.5760551434479738
CentralAK,Chinook,0.013567025308831492
CentralAK,Chum,0.16077550795370382
CentralAK,Coho,0.06577166977726123
CentralAK,Pink,0.4369330962574098
CentralAK,Sockeye,0.30394103411714884
SEAK,Chinook,0.00998161765186083
SEAK,Chum,0.1637539192534657
SEAK,Coho,0.05214192954780421
SEAK,Pink,0.7291755572817762
SEAK,Sockeye,0.026793088512689998
