species,40 year change,overall,BeringSea,CentralAK,SEAK,BCWC
Chinook,Size (kg wet),-2.675,-3.8099999999999996,-6.19,0.33000000000000007,-1.0300000000000002
Chinook,Escapement (millions),0.6600000000000001,-0.09999999999999998,0.06,0.009999999999999995,0.69
Chinook,Escapement (MT wet),-484.236296481016,-3632.9125229976617,-334.90300180469217,-133.27396919959526,3616.853197520933
Chum,Size (kg wet),-0.7725,0.1299999999999999,-0.9200000000000004,-1.1199999999999997,-1.1799999999999997
Chum,Escapement (millions),3.9000000000000004,2.5,2.2,-1.2999999999999998,0.5
Chum,Escapement (MT wet),6219.235400839699,9783.214168197825,-3393.6522940065583,409.74130357398366,-580.0677769255506
Coho,Size (kg wet),-0.09750000000000003,0.2200000000000002,-0.71,-0.3500000000000001,0.44999999999999973
Coho,Escapement (millions),1.17,0.07,0.6699999999999999,0.5800000000000001,-0.15000000000000013
Coho,Escapement (MT wet),4689.488569186384,-144.30314224104012,1220.3515315165102,1970.6944610213513,1642.7457188895623
Pink,Size (kg wet),-0.23000000000000004,0.040000000000000036,-0.3700000000000001,-0.3400000000000001,-0.25
Pink,Escapement (millions),61.39999999999999,-1.9,30.5,7.300000000000001,25.499999999999996
Pink,Escapement (MT wet),62493.35301599096,-3448.604052058877,11377.597213849342,31790.768173855387,22773.591680345104
Sockeye,Size (kg wet),-0.4375000000000001,-0.31999999999999984,-0.7200000000000002,-0.4800000000000004,-0.22999999999999998
Sockeye,Escapement (millions),18.199999999999996,13.2,5.4,0,-0.40000000000000036
Sockeye,Escapement (MT wet),2453.247378778877,-9646.905363250129,8448.430507465757,-664.7448952120719,4316.46712977532
Total,Escapement (millions),85.32999999999998,13.77,38.83,6.590000000000001,26.139999999999997
Total,Escapement (MT wet),75371.0880683149,-7089.510912349883,17317.82395702036,33373.18507403906,31769.589949605368
